"Species","total_attacks","attacks_per_million_pooled","fatality_rate"
Great White Shark,476,0.448,23.6
Tiger Shark,147,0.044,24.3
Bull Shark,109,0.056,20.1
Copper Shark,80,2.962,7.5
Wobbegong Shark,54,2.302,0.0
Shark involvement prior to death unconfirmed,40,0.086,11.8
Blacktip Shark,27,0.280,0.0
"2 m shark",24,0.050,15.4
"3 m [10'] shark",19,0.128,36.4
"6' shark",18,0.012,4.7
"1.8 m [6'] shark",17,0.160,8.6
Hammerhead Shark,16,0.048,5.9
"3 m shark",16,0.090,0.0
"1.5 m [5'] shark",15,0.143,0.0
Lemon Shark,15,0.069,0.0
No shark involvement,14,0.054,0.0
"3.7 m [12'] shark",14,0.400,66.7
Raggedtooth shark,13,0.337,0.0
Zambesi shark,11,0.210,18.2
Grey nurse shark,11,0.550,0.0
"1.5 m shark",11,0.122,0.0
